Step,cumulative_rewards
0,7.058492310555555
1,7.399205454166666
2,7.377090484259259
3,7.759413698402778
4,7.528992703055556
5,7.627024594398148
6,7.3882435766666665
7,7.263684896493055
8,7.218588914660494
9,7.177565993222222
10,7.233094606161616
11,7.288998098865741
12,7.361162629123932
13,7.259189164305556
14,7.28705497312963
15,7.237150152586805
16,7.243848010032679
17,7.126248637885802
18,7.136378895336257
19,7.033078409722222
20,7.072763186719577
21,7.075366630909091
22,7.084860516545894
23,7.033043748437501
24,7.046409310144445
25,7.024008741025641
26,6.980168776213992
27,6.947363809047619
28,6.967275106283525
29,6.9594034636203705
30,6.9734079182168465
31,7.015481207248264
32,6.991666949377104
33,6.989164510416667
34,6.954206637357143
35,6.931047435462963
36,6.910021497064565
37,6.927483051549708
38,6.931613655747864
39,6.918696248125
40,6.907031240535231
41,6.927900428306879
42,6.928014775465117
43,6.928499773844698
44,6.9380848720987665
45,6.964207422222223
46,6.991086972151302
47,6.951006787829862
48,6.9700317455555565
49,6.936458296883334
50,6.8993599750054475
51,6.88197748388889
52,6.8696049772431875
53,6.871678708976338
54,6.849795595484849
55,6.867317435357144
56,6.870342540175439
57,6.916054825033526
58,6.962540762900189
59,6.999939462231482
60,7.007702178797815
61,7.041770177114696
62,7.048914606155203
63,7.076501280733507
64,7.15334901874359
65,7.234527952550505
66,7.354659343320895
67,7.494365491299019
68,7.617312703522544
69,7.709959227761905
70,7.78280115443662
71,7.923312014016204
72,8.020833534375951
73,8.145417136084834
74,8.257596870585184
75,8.36363318115497
76,8.428817449787157
77,8.49539183787037
78,8.52815362100211
79,8.584500356722222
80,8.571105801361453
81,8.554339208153793
82,8.552785293922355
83,8.586952968111772
84,8.596840870970588
85,8.589114548449613
86,8.625066625035123
87,8.654501247095961
88,8.682144020870789
89,8.7398004551821
90,8.794373627127596
91,8.863651429725243
92,8.947389339799882
93,9.012970143241727
94,9.072369583421054
95,9.131916161009839
96,9.20438788257732
97,9.268587845552721
98,9.348426679705387
99,9.422539528183334
100,9.492045019405941
101,9.541367571614924
102,9.551193326774541
103,9.561393766936432
104,9.582267599883597
105,9.610945183058176
106,9.663597171259086
107,9.655515716875
108,9.697950961648827
109,9.672778350068182
110,9.675181765575575
111,9.668911428824403
112,9.661835129771385
113,9.658977681849413
114,9.66354284177536
115,9.643656601685821
116,9.631466702464385
117,9.636075063090864
118,9.65251913118814
119,9.645223175657405
120,9.656186811889345
121,9.685309044902091
122,9.722816987373529
123,9.758469505759406
124,9.823349963128885
125,9.871393312945322
126,9.91428614034339
127,9.955622198023
128,10.005675521462098
129,10.054996649376065
130,10.090083233534772
131,10.12664848046296
132,10.165435084275268
133,10.192192392010776
134,10.206160991604936
135,10.196321233245504
136,10.195655513114353
137,10.219335520879628
138,10.219901884568344
139,10.228646998051586
140,10.24571393612293
141,10.221100927891236
142,10.202014325369074
143,10.20303540011381
144,10.195469161478925
145,10.194369437315448
146,10.213074253282311
147,10.240743901268766
148,10.278503413314688
149,10.299320753020368
150,10.281608974896981
151,10.298597988804822
152,10.323309937057006
153,10.348133626810965
154,10.377786804155912
155,10.38106139844195
156,10.391365919469214
157,10.446970278885372
158,10.471578846609013
159,10.483657455800346
160,10.49582157998102
161,10.535688585250343
162,10.578248726961485
163,10.612396259962736
164,10.618875225185183
165,10.666121617031457
166,10.687244584871921
167,10.672848938819444
168,10.661034549868507
169,10.663802622705882
170,10.64071361438434
171,10.634174813496447
172,10.62751966014451
173,10.629947985846105
174,10.613305680525396
175,10.595375917544192
176,10.588042028983052
177,10.589954434948503
178,10.595227285265365
179,10.608631067936729
180,10.619496321781769
181,10.646489880720392
182,10.664124926924712
183,10.669508387629831
184,10.704786185644144
185,10.705956205241936
186,10.729466997612894
187,10.747093688197399
188,10.783292576452087
189,10.796407096963451
190,10.836445682268762
191,10.86719990191551
192,10.899555785813185
193,10.927722965178981
194,10.956567799971511
195,10.980383952189626
196,10.96524228458263
197,10.950660926358026
198,10.952130948428254
199,10.949881899645835
200,10.956000949264789
201,10.936035063730749
202,10.92591156089491
203,10.921294850503813
204,10.931750351701897
205,10.915045757656419
206,10.917925991414386
207,10.9042078619164
208,10.890538021395534
