Update Step,Agent 0 Gradient Norm,Agent 1 Gradient Norm,Agent 2 Gradient Norm,Agent 3 Gradient Norm
0,14.266068458557129,1.023816466331482,6.659395217895508,2.466399908065796
1,35.981807708740234,0.9351963400840759,5.675955772399902,0.2258814126253128
2,22.419559478759766,0.8810921311378479,5.810793876647949,0.4419994652271271
3,64.53694915771484,0.8834848403930664,4.714719772338867,0.654754638671875
4,46.88460922241211,0.7823364734649658,3.2694060802459717,0.6772739887237549
5,62.49171447753906,0.8013800978660583,3.151329755783081,0.8154736757278442
6,16.109268188476562,0.5377517938613892,1.691265344619751,0.8399743437767029
7,27.552194595336914,0.21347050368785858,0.9359552264213562,0.5604550838470459
8,72.99517822265625,0.07929585129022598,0.18842855095863342,0.8820322751998901
9,14.242958068847656,0.13846266269683838,0.5984120965003967,0.05609928071498871
10,30.940065383911133,0.14847053587436676,1.0826495885849,1.0952543020248413
11,68.010986328125,0.19776174426078796,1.4348276853561401,0.6639609336853027
12,16.12249183654785,0.24154244363307953,1.8751894235610962,0.33515021204948425
13,19.527219772338867,0.27398329973220825,2.126223564147949,1.9987409114837646
14,61.57390213012695,0.2334369421005249,2.4318344593048096,2.3513851165771484
15,44.3740348815918,0.42730093002319336,2.4778099060058594,0.08059096336364746
16,54.63100814819336,1.532242774963379,2.379225730895996,1.091079831123352
17,7.22920560836792,0.537619411945343,2.265326976776123,1.1555951833724976
18,75.69910430908203,0.5403079390525818,2.317009925842285,0.47140055894851685
19,41.00258255004883,1.2599893808364868,1.6646220684051514,0.16726166009902954
20,23.1951904296875,0.9916341304779053,1.5310053825378418,1.7139685153961182
21,55.45734405517578,0.712633490562439,0.9978842735290527,0.41643768548965454
22,16.16179084777832,0.4404761791229248,1.1239702701568604,0.04921140521764755
23,21.493389129638672,0.08000856637954712,0.4500773847103119,0.5871410965919495
24,72.2822036743164,0.12466887384653091,0.29583993554115295,1.3663270473480225
25,12.392114639282227,0.16860800981521606,0.0053815352730453014,1.3491770029067993
26,51.26774215698242,0.23217597603797913,0.40578654408454895,0.2939407229423523
