Step,policy_entropy
0,1.912035048007965
1,1.9208691120147705
2,1.9109765589237213
3,1.9230937957763672
4,1.9167786240577698
5,1.9134277403354645
6,1.9089897871017456
7,1.9042009115219116
8,1.9033983051776886
9,1.9048779606819153
10,1.9239859580993652
11,1.9151507914066315
12,1.9172974824905396
13,1.9071068167686462
14,1.9208995699882507
15,1.9201354384422302
16,1.9203909933567047
17,1.9210348427295685
18,1.9102445244789124
19,1.9170562028884888
20,1.9014345407485962
21,1.9201623797416687
22,1.8977437615394592
23,1.917342334985733
24,1.9224083423614502
25,1.9100579023361206
26,1.9212881922721863
27,1.9083128571510315
28,1.9047562181949615
29,1.916177362203598
30,1.9189767837524414
31,1.9179166555404663
32,1.9227373600006104
33,1.922897607088089
34,1.9023815393447876
35,1.915126919746399
36,1.8999071419239044
37,1.9096251726150513
38,1.917644590139389
39,1.9207572638988495
40,1.904889166355133
41,1.9046435058116913
42,1.916122853755951
43,1.9222401976585388
44,1.9163963794708252
45,1.9168272018432617
46,1.9212132692337036
47,1.9192470908164978
48,1.9176063239574432
49,1.915717750787735
50,1.9169130325317383
51,1.9156280159950256
52,1.9198191165924072
53,1.9201750755310059
54,1.9149523973464966
55,1.9156838953495026
56,1.9216550290584564
57,1.9147855639457703
58,1.9140007495880127
59,1.9193048179149628
60,1.9086965322494507
61,1.9080584347248077
62,1.922676831483841
63,1.908596932888031
64,1.9160784780979156
65,1.9227278232574463
66,1.9201928079128265
67,1.9229048192501068
68,1.9250664412975311
69,1.9154179692268372
70,1.9213170111179352
71,1.9190341234207153
72,1.9191531836986542
73,1.918539136648178
74,1.918591022491455
75,1.9169644713401794
76,1.9255556166172028
77,1.8980303704738617
78,1.9154309332370758
79,1.9024267196655273
80,1.9107278287410736
81,1.9161325097084045
82,1.9151113629341125
83,1.9170916974544525
84,1.911929190158844
85,1.9170403480529785
86,1.901609480381012
87,1.9205834865570068
88,1.9199702441692352
89,1.918154001235962
90,1.9226529896259308
91,1.9173772633075714
92,1.917577087879181
93,1.9187650084495544
94,1.9152748882770538
95,1.9189239144325256
96,1.9231255054473877
97,1.9215007424354553
98,1.9204904735088348
99,1.917396068572998
100,1.915377825498581
101,1.9247464835643768
102,1.9199459552764893
103,1.9198488593101501
104,1.9107046723365784
105,1.9248028099536896
106,1.922315001487732
107,1.918312281370163
108,1.9161224365234375
109,1.897966593503952
110,1.919124037027359
111,1.9167059063911438
112,1.9164589941501617
113,1.9234747886657715
114,1.9146235883235931
115,1.909540593624115
116,1.9157644510269165
117,1.9199095368385315
118,1.9185387790203094
119,1.9184853732585907
120,1.9242793917655945
121,1.911096453666687
122,1.9094374179840088
123,1.9199905693531036
124,1.9154759347438812
125,1.91512069106102
126,1.9178847670555115
127,1.9136478304862976
128,1.9160748422145844
129,1.9150788187980652
130,1.9165619611740112
131,1.9114997684955597
132,1.9133846163749695
133,1.9100455939769745
134,1.9153894782066345
135,1.9065133035182953
136,1.9120706021785736
137,1.927914798259735
138,1.9077820181846619
139,1.9231369495391846
140,1.9097363352775574
141,1.9174463152885437
142,1.8843289613723755
143,1.9108036756515503
144,1.9208234548568726
145,1.920640468597412
146,1.9214327335357666
147,1.9088688790798187
148,1.918699473142624
149,1.9258287847042084
150,1.899267852306366
151,1.9147717356681824
152,1.9020404517650604
153,1.9158351719379425
154,1.9113790094852448
155,1.9084211885929108
156,1.914787620306015
157,1.9199568331241608
158,1.9216876327991486
159,1.9149496257305145
160,1.9122528433799744
161,1.9010467529296875
162,1.9269212186336517
163,1.9140857458114624
164,1.9146788418293
165,1.910452663898468
166,1.9205064475536346
167,1.9239992499351501
168,1.905306488275528
169,1.9144923090934753
170,1.8938447833061218
171,1.9167368710041046
172,1.9156083464622498
173,1.903205931186676
174,1.9208482205867767
175,1.916054219007492
176,1.895224928855896
177,1.917841911315918
178,1.9149646162986755
179,1.917748123407364
180,1.9144439995288849
181,1.920046716928482
182,1.9262353479862213
183,1.9185357987880707
184,1.9275839924812317
185,1.9218480587005615
186,1.904990792274475
187,1.9215645492076874
188,1.8988997638225555
189,1.9182176291942596
190,1.919739693403244
191,1.919435977935791
192,1.9107383787631989
193,1.9265632629394531
194,1.9210715293884277
195,1.9110245108604431
196,1.915638267993927
197,1.9229754507541656
198,1.9025356769561768
199,1.9152488708496094
200,1.9171999394893646
201,1.909987211227417
202,1.922286719083786
203,1.9070911705493927
204,1.898789882659912
205,1.9188992977142334
206,1.9180351495742798
207,1.9116582572460175
208,1.9125853180885315
